,아이디,댓글 내용
11,  vo nikae,이 영상보고 좋아요 클릭 안 할 수 가없는 완벽한 리뷰 감사합니다 내가 써본거 같은  경험을 했네요!!
12,  Maior,저는 이 제품 구입한지 3~4일쯤 되었네요.게임 + 영화 + 음악 전부 만족하며 쓰고 있어요.보통 RPG 게임하면  음악 옵션은 끄거나 전체 음량을 최소로 줄이고 했었는데요.울트라기어 GP9 스피커에 RTS 모드 켜면 RPG 게임 소리가  딴 세상이 됩니다.그리고 영화나 고음질 음원 같은거 틀때 아파트라 크게 못 듣는게 너무 안타까울정도네요.이상 사용후기였습니다 ㅎㅎ
13,  Ghoul_Wizard,Excellent review I would love to pair this speakers with my LG 27GP950-B
14,  유중훈,헤드셋은 더울 때 가끔 귀가 답답하고 불편했는데 이 스피커 음성채팅 기능만 본다면 게임할 때 나쁘지 않은 선택인거 같습니다.
15,  D.I Lee,스펙이나 겉보기엔 한 20-30정도면 적당해보이는데.. 실사용하면 좀 다른가보네요.. 그래도.. 너모 비싸.. ㄷㄷ
16,  ZID,레이저 크로마까지 지원했으면 ㅎㄷㄷ 했을듯
17,  러브,제품도 제품이지만 실력도 대단하십니더
18,  FC하나로,우와 사고 싶은데 가격이 ㅎㄷㄷ 하네요 ㅠㅠ
19,  워윅장인 킹워윅,좋은 제품 리뷰 감사합니다
20,  NP,으... 가격만 어찌되면 한번 싸보고 싶은데요 ㅠ ㅠ리뷰 잘 보고 갑니다~
21,  Kyoung-Jun Min,"HDMI ARC만 있었어도 OLED48 모니터와 연결해서 콘솔게임용으로 구매하고 싶은데, 이 포트 나올 때까지 기다리렵니다"
22,  PETBOY,공간 활용에 좋다고 생각함
23,  Juwan Hong,성능은 넘사네 가격도 넘사고...
24,  스피키오,헤드셋 쓰는거 너무 귀찬은데 사플은 하고싶을때 쓰기좋은듯단점은 가격이구나
25,  Ever-blue Sky,분명 난 오디오 리뷰를 보러왔는데 어느 순간 아토님이 너무 잘해서 놀라던 중인데 나만 이럼? ㅋㅋㅋ
26,  YJ J,저사운드칩이  100만대이상 스피커에 들어가있던데  가성비제품이였다는 ㄷㄷ
27,  레고밟음아픔,사운드카드사려고햇는데 gp9사야겟네 ㄷㄷ 너무맘에든당디자인도그렇구
28,  이성진,가격만 빼면 마음에듬
29,  ᄎᄎ,이가격이 과연 맞을까 아무리 기술을 넣어도 1.5kg의 한계가있는데
30,  95kg 175cm,와 최첨단 리뷰 와 이어폰 사운드 미쳣네 외장사운드가 더 또렷하게 들리는것같은데 개인차이인가사운드카드 안사도 되고 스피커 안사도 되고 마이크 안사도 되고 하나로 합쳐진건 좋네요가격이좀..
31,  민닥후,확실한건 외장형사운드카드+헤드셋에서는 되게안좋게들리면서.. 외장형사운드카드+이어폰은일때 GP9+이어폰을사용을하면괜찮을것갔습니다. 마이크는그냥따로하는사용하는게좋다라고생각합니다 개인적으로 영상보고나서요
32,  김앙뿌,이게 분명 어지간한 dac들어간 사카보다 월등하다면 돈아까운게아닌게 헤드셋이어폰연결했을때 정말좋을까 고민되네요 어차피 스피커키곤 게임못하고요 집에선
33,  한나,영상 잘 봤어요~
34,  크루제TV,오 써보고 싶다. 가격이 ㄷㄷㄷ
35,  행복해져라얍,진중한 블랙과 레드... 간지...
36,  현,"직접 구매해서 사용 중 입니다. 솔직히 사운드는 가격 대비 너무 저 품질이고요, 먹먹 하다고 해야 할까요?구조상 어쩔 수 없는 부분 인 것 같기도 하지만요.그리고 마이크 같은 경우도 게임 소리가 안 들리는 장점은 있지만, 대부분 사람들이 목소리가 잘 안 들린다는게 대부분 이였습니다.또 RGB 같은 경우도 단색으로만 변경 가능하고 순환 기능 같은건 없네요.  무엇보다 자체 소프트웨어가 핸드폰 앱 으로만 구성 되어 있는데, 제발 PC버전 좀 내주세요.  진짜 불편해요.구매 하실 분들은 가격 좀 떨어지면 사시거나 아니면 다른 스피커 사시는게 좋을 듯 하네요..."
37,  호p,hdmi earc가 상용화된 시점에서 광단자라니.. LG 이건 아닌거같은데
38,  이동철,형님 믿고 지릅니다~  나이스
39,  H J,가격이 참... 부담되네요;; 배터리 빼고 유선 모델로 해서 25만원이면 좋겠는데~ ㅎㅎ
40,  추적자,아... 소리는 딱 내 취향이라 갖고 싶은데... 가격이 ㅜㅠ
41,  CSB행님,리뷰 잘봤습니다  언제나 문제는 머니 ~
42,  liberty,es9038pro 칩이라니 엄청 가성비 제품이었잖아
43,  샤프트,이거 살바에 사블 카타나 사긋따 20~25 정두 해야 경쟁력 있을뜻?
44,  라무네,솔직히 이건 아무도 안사서 가격내려야함 ㅋㅋㅋ 50 넘는거 진짜 아닌거같은데 ..
45,  타클,"이 제품은 게이밍 스피커지만 사실 스피커는 덤같은 제품이고 사실상 외장사카에 마이크랑 스피커가 달린 제품으로 보는게 더 맞는 제품인거 같습니다스피커 음질 자체는 55만원이라는 높은 가격치고 성능이 낮고 다른 성능이 월등히 높기 떄문입니다이 제품에서 가장 중요한부분은 사람마다 다르겟지만 32비트 Hi_Fi Quad DAC랑 클리어 보이스 마이크가 주력으로 보는 제품이며,다들 너무 비싸다 라고 하게 만드는 이유인 내부에 들어간 칩셋이 es9038pro칩셋을 사용햇습니다이 칩셋 자체가 고성능의 하이엔드 칩셋이고 그러다보니 가격이 올라간거죠덕분에 고품질의 쿼드덱이 지원되긴 합니다만 너무 높은 가격은 소비자들이 보기엔 너무 거품가라고 느끼게 만들수밖에 없긴하죠마이크 부분은 영상에 나왓듯이 노캔마이크가 들어가있는 제품이며스피커 성능은 55만원이라는 가격에 비해 너무 성능이 떨어진다고 체감될가능성이 높습니다따라서 정말 음질을 신경쓰시는 분들은 차라리 따른 스피커를 알아 보시는게 좋을것같고요저는 광오디오 입력이랑 3.5파이 단자 지원하는 사운드바를 찾고 있었기에 조만간 구매할 예정이긴 합니다만, 저도 솔직히 누구한테 추천은 못할 제품이 맞습니다;"
46,  JD King,이 스피커에 탑재된 칩셋 들어가있는 HIFI DAC 제품들이 이 스피커 가격만큼 나가는 것들도 많아서HIFI 게이밍 DAC을 샀는데 쓸만한 고품질 스피커가 올인원으로 딸려있고 부가적인 기능들까지 있다?? 생각하면 사운드 관심있는 사람들에겐 충분히 가성비로 느껴질수도 있겠네요 사운드바로만 생각하면 접근하기 어려운 가격대 같아요 음질은 집접들어봐야 정확하겠지만 생각보다 좋은것같습니다리뷰 많은 도움이 되었습니다
47,  roxy blue,디자인이 별루지만 성능은 좋은 제품 같네요. 디자인과 가격이 좀 과한 듯...ㅋ
48,  양대건,자 이제 아마존에서 떨이하는 순간만 기다리겠습니다!
49,  츄밥,이건 좀 가격이 선넘긴했음 할인받는다쳐도..
50,  라무네,스피커 성능은 Creative pebble V3랑 차이가 거의 없을 것 같은 ..
51,  왓더훈,스피커 밀폐/오픈 형으로 나눔 밀폐형이 오픈형 보다 소리가 빠름.. 오픈형은 저음에 좋음.. 밀폐형은 고음과 타격감에 좋음 각 메이커 회사마다 사용하는 재료가 다르고.. 연구하는 대상이 다름 즉.. 소리는 얼마나 많이 시간을 투자했고 만들 었냐가 중요함.. 같은 유닛에 플라스틱을 써도.. 소리가 다름.. 기술적인 문제이기 때문에.. 스피커 는 절대 사플 이어폰 헤드폰 이길수 없음..구조 특성상 절대.. 스피커 소리는 파장이 일기 때문에 소리가 귀에 전달 되기 전에 이미 여기 저기 부딛혀서 왜곡이 생김.. 습도가 높은 날은  소리가 조금 늦어짐 그래서 파장을 이해하고 스피커를 만드는거임.. 그래서 비쌈 사플이 됩니다 라고 했지 좋다고 말 못했음.. 솔직히 저음이 없어 소리가 틱틱 되니깐 이층이라 생각했는데.. 같은 층이네.. 결국 연구도 안했단 소리지.. 스피커로 발소리 표현 할려면 저음 스피커를 얼마나 큰걸 때려 박아야 되는데;; 스피커는 앰프와 한셋이고.. 내가 음악에 중 저 고음역을 나뉘어서 맑은 해상도와 카랑카랑한 고음에 풍부한 중저음을 원하지 않은 이상 다 고만 고만함.. 스피커로 사플 할려면 7.1 체널 돌피 시스템이 아닌이상.. 개뿔 절대 안됨.. 엘지가 스피커에 투자 한적도 없고.. 연구 한적도 없음.. 답은 값비싼 쓰렉이.. 소리는 스피커 유닛을 여기 저기 쳐 단다고 해결 되는 문제가 아님.. 메이커 회사들이 좌우 거리 울마나 두세요 뒤에 벽이랑 간격을 띠우세요 엠프는 어느정도 쓰세요 하는게 그냥 하는말 아님..
52,  huuuam,생긴거도 딱 울트라 기어 모니터 스탠드 밑에 놓을 수 있어서 혹 했는데가격보고 헉..... 일단 보류 ㅠㅠ
53,  복숙이아빠,내년에 반값 해줄꺼지? 믿고 있따규 엘즤~
54,  한지아,문제는 역시 가격이죠 ㅋㅋ
55,  mty95,생각보다 괜찮은거 같은데
56,  한형종,요즘 사운드바 비싼건 백.수백.넘어요.제 프사보시면 진공관도 좋아하는 사람이라조금쓴게.수백이네요. 사운드란게 개인마다 차이가 있어 답은 없어요사운드바나.피씨용스피커 마이크 필요한 분들가까운 엘지에가서 청음가능한지 가능하면 해보시길.바랍니다.제생각엔 오디오좋아하는분들은 음질이 별로라고싼제품만 쓰시던분들은 돈낭비라고 하실것같습니다.
57,  팩트,30만원짜리 패시브 스피커 사고 20만원짜리 앰프사는게 음질에 더 좋다앰프 사서 연결하는게 귀찮으면 50만원짜리 액티브 스피커를 사라 저런거 사지 말고
58,  이승민,이제품 콘솔에서도 사용 가능할까요모니터는 lg32650u 제품이고 사용으하러는 기기는 플스5와 스위치에 연결해서 쓰려고 합니다
59,  Gray Jung,좋지만 비싸다…
60,  불타는바지,근데 디자인이 영아니다 ㅠ 좀심플하게 나오면 안되나
61,  EchO,저 이거 유선연결시 마우스 움직일때마다 소리가 엄청 끊기는데 혹시 다른분들은 이런적없으신가요?ㅜ
62,  대한제국,추석 잘보내세요항상 응원드립니다 구독  좋아요알림  꾸욱  눌러 주시는것은  기본입니다
63,  전지적외계인시점,과연 20만짜리 야마하 사운드바 보다좋을까 글세.. 우퍼기능도없는거같은데 흠..
64,  SOER WON,사운드블라스터 카타나가 더 예쁘다
65,  마스터조,가격이 선 넘었지
66,  인생사새옹지마,너무비쌈.... 그냥 저거 사느니 20만원대 좋은 블루투스 해드셋삼일반인 관점입니다
67,  holic love,오홍~!!! 그니까 가격만 아니면...
68,  han kim,20정도면 생각 하겠는데 50은 ...
69,  help mail,"""게이밍""이것만 붙으면 걍 가격 거품물어버리네"
70,  라라랜드,디자인이 좀 맘에안드넹 헤드셋보다 정확한 위치 파악도 안될 것같고
71,  잇츠미,암만그래도 55만원은 선넘었어... 디자인도 넘 못생겼고  둘중 하나만 허용범위였으면 눈감고 질러볼만한데 50만이면 살만한 스피커가 넘많음
72,  yc j,"전원케이블 분리하먼 전원 안켜지지않나요?이 증상으로 as 2번째인데 해결이 안되는거같습니다.답글좀 꼭 달아주세요"
73,  한형종,비싼칩셋썼는데 스피커랑 마이크는.덤
74,  수라,가격이 문제...;;
75,  오늘의코딩TODOasCoding,가운데 저 마크가 LG 였구나.
76,  그니그니상그니,사운드에 집중해야하는데 배그너무 잘하는거 아니에여? ^^;;
77,  KG하얀사막,저거로 사플이 어케됨?
78,  다크나이트,오늘 결국 고민 끝 지르기는 했습니다. 근데 마스크는 왜 착용하고 촬영하는지요?
79,  Suny,아토님이 베그 저리 잘한다고??
80,  TakeOnMe,20만원이면 지름...
81,  go ja,소리가 완전히 다른거 같은데...문열때 끼릭끼익소리가 추가되버려;;;
82,  인태인태인태인태인태인태인태인,이형은 또 최초공개 어디서 배웠어
83,  스텔라루멘,제네렉사기전에 좀 나오지-_-...
84,  조익성,우 웅장하다
85,  잇쏘,머리사이즈 60이상은 똑똑한거죠?
86,  원주민,개비싸네
87,  가재는게편,6:01 응?
88,  m m,안삽니다.
89,  김메타,지르...까..?
90,  HeiZy,6:00 에 빨간옷 적....
